viReference,viCodeInsee,viCodePostal,viVille,viLambertX,viLambertY
5617,16365,16480,Sauvignac,458442,6465896
5618,16366,16130,Segonzac,449143,6507390
5619,16367,16210,Sérignac,467148,6467785
5620,16368,16410,Sers,491119,6503598
5621,16369,16200,Sigogne,455081,6519376
5622,16370,16440,Sireuil,467831,6506656
5623,16371,16170,Sonneville,456943,6527081
5624,16372,16380,Souffrignac,505073,6500918
5625,16373,16240,Souvigné,473167,6545351
5626,16374,16800,Soyaux,481967,6509472
5627,16375,16260,Suaux,507573,6530838
5628,16376,16270,Suris,516106,6530576
5629,16377,16260,La Tâche,494500,6534596
5630,16378,16700,Taizé-aizie,485860,6553782
5631,16379,16110,Taponnat-fleurignac,496457,6523419
5632,16380,16360,Le Tâtre,449710,6482915
5633,16381,16240,Theil-rabier,470405,6554344
5634,16382,16410,Torsac,483211,6500538
5635,16383,16560,Tourriers,481005,6526174
5636,16384,16360,Touvérac,449620,6480695
5637,16385,16600,Touvre,485936,6511555
5638,16386,16120,Touzac,454283,6499402
5639,16387,16200,Triac-lautrait,457149,6512625
5640,16388,16730,Trois-palis,470209,6507678
5641,16389,16350,Turgon,498631,6542236
5642,16390,16140,Tusson,473002,6540912
5643,16391,16700,Tuzie,479357,6545124
5644,16392,16460,Valence,490624,6534727
5645,16393,16330,Vars,476226,6523013
5646,16394,16320,Vaux-lavalette,483406,6483863
5647,16395,16170,Vaux-rouillac,460607,6521380
5648,16396,16460,Ventouse,493024,6536868
5649,16397,16140,Verdille,459620,6535866
5650,16398,16310,Verneuil,521309,6522645
5651,16400,16510,Verteuil-sur-charente,485587,6546014
5652,16401,16330,Vervant,476469,6529672
5653,16403,16350,Le Vieux-cérier,501026,6544380
5654,16404,16350,Vieux-ruffec,497341,6550057
5655,16405,16300,Vignolles,459611,6495858
5656,16406,16220,Vilhonneur,499200,6512218
5657,16408,16320,Villebois-lavalette,487544,6490386
5658,16409,16240,Villefagnan,474146,6550871
5659,16410,16700,Villegats,483266,6546095
5660,16411,16140,Villejésus,469779,6537698
5661,16412,16560,Villejoubert,481005,6526174
5662,16413,16240,Villiers-le-roux,475814,6554143
5663,16414,16230,Villognon,475080,6534168
5664,16415,16430,Vindelle,476023,6517464
5665,16416,16310,Vitrac-st-vincent,505846,6525337
5666,16417,16120,Viville,456491,6495980
5667,16418,16400,Voeuil-et-giget,477794,6501842
5668,16419,16330,Vouharte,472549,6528705
5669,16420,16250,Voulgézac,475213,6495269
5670,16421,16220,Vouthon,503055,6510982
5671,16422,16410,Vouzan,493456,6503519
5672,16423,16330,Xambes,474917,6529728
5673,16424,16210,Yviers,464839,6468983
5674,16425,16110,Yvrac-et-malleyrand,501785,6519912
5675,17001,17350,Agonnay,410802,6537979
5676,17002,17500,Agudelle,428508,6481588
5677,17003,17290,Aigrefeuille-d'aunis,396634,6565350
5678,17004,17123,Ile-d'aix,376766,6555252
5679,17005,17150,Allas-bocage,427726,6481622
5680,17006,17500,Allas-champagne,439876,6491102
5681,17007,17540,Anais,398506,6571929
5682,17008,17230,Andilly,389658,6580157
5683,17011,17350,Annepont,419172,6534254
5684,17012,17380,Annezay,412309,6553472
5685,17014,17240,Antignac,429093,6494901
5686,17016,17520,Archiac,442450,6496551
5687,17017,17380,Archingeay,413386,6543416
5688,17018,17290,Ardillières,400108,6557395
5689,17019,17590,Ars-en-ré,351709,6577765
5690,17020,17520,Arthenac,440890,6496617
5691,17021,17530,Arvert,378945,6522888
5692,17022,17400,Asnières-la-giraud,428622,6537163
5693,17023,17770,Aujac,436228,6533495
5694,17025,17770,Aumagne,436323,6535714
5695,17027,17800,Avy,426999,6500552
5696,17028,17440,Aytré,383580,6567127
5697,17029,17160,Bagnizeau,442570,6536560
5698,17030,17600,Balanzac,402247,6521712
5699,17031,17160,Ballans,450048,6529581
5700,17032,17290,Ballon,394702,6557664
5701,17033,17360,La Barde,461850,6452426
5702,17034,17120,Barzan,399611,6499604
5703,17035,17490,Bazauges,454373,6540520
5704,17036,17620,Beaugeay,391379,6537816
5705,17037,17490,Beauvais-sur-matha,453420,6536113
5706,17038,17210,Bedenac,440826,6457716
5707,17039,17800,Belluire,421442,6498577
5708,17040,17400,La Benâte,423801,6550718
5709,17041,17170,Benon,405548,6573807
5710,17042,17770,Bercloux,430703,6531513
5711,17044,17460,Berneuil,419710,6511996
5712,17045,17250,Beurlay,403001,6537241
5713,17046,17400,Bignay,421077,6541949
5714,17047,17800,Biron,429435,6502667
5715,17048,17160,Blanzac-lès-matha,440199,6535549
5716,17049,17470,Blanzay-sur-boutonne,434866,6555785
5717,17050,17240,Bois,418850,6493137
5718,17051,17580,Le Bois-plage-en-ré,362300,6573831
5719,17052,17150,Boisredon,423519,6475139
5720,17053,17430,Bords,405486,6540456
5721,17054,17270,Boresse-et-martron,455438,6469348
5722,17055,17360,Boscamnant,459010,6460316
5723,17056,17800,Bougneau,425687,6506168
5724,17057,17540,Bouhet,401534,6570667
5725,17059,17220,Bourgneuf,389975,6571245
5726,17061,17210,Bran,444008,6477591
5727,17062,17490,Bresdon,455745,6536020
5728,17063,17700,Breuil-la-réorte,415555,6556655
5729,17064,17920,Breuillet,384987,6519238
5730,17065,17870,Breuil-magné,392767,6549977
5731,17066,17520,Brie-sous-archiac,442264,6492113
5732,17067,17160,Brie-sous-matha,447721,6529677
5733,17068,17120,Brie-sous-mortagne,407249,6495901
5734,17069,17800,Brives-sur-charente,429922,6513762
5735,17070,17770,Brizambourg,429879,6530438
5736,17071,17160,La Brousse,438696,6536724
5737,17072,17770,Burie,434292,6524687
5738,17074,17210,Bussac-forêt,435569,6463496
5739,17075,17430,Cabariot,401722,6542862
5740,17076,17520,Celles,437369,6505658
5741,17077,17270,Cercoux,448495,6452954
5742,17078,17800,Chadenac,432455,6500312
5743,17079,17890,Chaillevette,385158,6522566
5744,17080,17290,Chambon,402858,6566155
5745,17081,17130,Chamouillac,428215,6474931
